,frame,det_id,track_id,tag_id,video_name,cx,cy,angle,virtual,tag_hamming,tag_dm,tag_cx,tag_cy,score,bbox_x,bbox_y,bbox_width,bbox_height,bbox_confidence,head_x,head_y,head_conf,head_visibility,neck_x,neck_y,neck_conf,neck_visibility,thorax_x,thorax_y,thorax_conf,thorax_visibility,waist_x,waist_y,waist_conf,waist_visibility,tail_x,tail_y,tail_conf,tail_visibility,waist_src,angle_src,vx,vy,cost,pcx,pcy,pa,pvx,pvy,tag_goodness,tag_p0x,tag_p0y,tag_p1x,tag_p1y,tag_p2x,tag_p2y,tag_p3x,tag_p3y,tag_H,tag_dx,tag_dy,tag_ntags,timestamp,track_shape,track_event,track_startframe,track_startx,track_starty,track_starta,track_endframe,track_endx,track_endy,track_enda,track_length,track_starttime,track_endtime,track_tagid,track_hastag,track_dm,track_ntagidunique,track_ntagid
147343,12637,4,3877,,135_02_R_190821080000.cfr.mp4,1147.58935546875,808.3944091796875,-71.3589155933254,False,,,,,0.9980512857437134,1148.927001953125,825.63134765625,252.62451171875,442.7879028320313,0.8768141269683838,1224.946044921875,625.872314453125,0.9978097081184388,2.0,1197.7310791015625,683.181396484375,0.9959742426872252,2.0,1171.4036865234375,738.6834716796875,0.9992734789848328,2.0,1147.58935546875,808.3944091796875,0.9980512857437134,2.0,1087.93798828125,1032.0198974609375,0.9909713268280028,2.0,waist,"head,tail",20.95893432685409,-19.44024237911537,0.1408530398924802,1136.896678467479,822.4143718786972,-87.88931872134113,10.26625732558307,-5.4202796801056365,,,,,,,,,,,,,,2019-08-21 08:10:31.850,inside_outside,exit,12540.0,766.533935546875,1482.4766845703125,-120.90388519771952,12924.0,1488.87841796875,55.36434173583984,-5.945813341023107,385.0,2019-08-21 08:10:27.000,2019-08-21 08:10:46.200,937,True,72.09,1.0,281.0
147357,12638,4,3877,,135_02_R_190821080000.cfr.mp4,1153.5877685546875,794.857177734375,-70.33444597063792,False,,,,,0.9979106783866882,1157.179931640625,817.8405151367188,270.2816162109375,447.2174072265625,0.8811089396476746,1238.5732421875,612.108642578125,0.998257339000702,2.0,1205.623046875,666.908447265625,0.9960766434669496,2.0,1177.725341796875,723.34228515625,0.9992828965187072,2.0,1153.5877685546875,794.857177734375,0.9979106783866882,2.0,1089.814208984375,1028.3648681640625,0.9932674169540404,2.0,waist,"head,tail",16.477880249364603,-23.257352634870244,0.0130051941060752,1158.068822632177,798.6742879901299,-71.3589155933254,20.95893432685409,-19.44024237911537,,,,,,,,,,,,,,2019-08-21 08:10:31.900,inside_outside,exit,12540.0,766.533935546875,1482.4766845703125,-120.90388519771952,12924.0,1488.87841796875,55.36434173583984,-5.945813341023107,385.0,2019-08-21 08:10:27.000,2019-08-21 08:10:46.200,937,True,72.09,1.0,281.0
147371,12639,3,3877,937.0,135_02_R_190821080000.cfr.mp4,1157.6639404296875,792.707275390625,-65.93232118720127,False,0.0,59.17,1191.79,735.69,0.9975281357765198,1163.826416015625,811.9345092773438,287.26666259765625,438.2374267578125,0.8899708390235901,1259.1455078125,616.4176635742188,0.998400866985321,2.0,1219.49951171875,668.5750732421875,0.995715320110321,2.0,1186.684326171875,722.6805419921875,0.9991325736045836,2.0,1157.6639404296875,792.707275390625,0.9975281357765198,2.0,1078.6240234375,1020.5900268554688,0.9944562911987304,2.0,waist,"head,tail",12.315111999682244,-13.77857866118518,0.0405395335433495,1161.82670867937,783.2285014169399,-70.33444597063792,16.477880249364603,-23.257352634870244,0.0,1182.174,699.431,1228.038,725.471,1201.169,771.053,1156.052,745.762,"[[     23.026,    -12.223,     1191.8], [     13.134,     24.077,     735.69], [  0.0026937,  0.0097811,          1]]",1087.0,623.0,1.0,2019-08-21 08:10:31.950,inside_outside,exit,12540.0,766.533935546875,1482.4766845703125,-120.90388519771952,12924.0,1488.87841796875,55.36434173583984,-5.945813341023107,385.0,2019-08-21 08:10:27.000,2019-08-21 08:10:46.200,937,True,72.09,1.0,281.0
147385,12640,2,3877,937.0,135_02_R_190821080000.cfr.mp4,1160.39794921875,788.0812377929688,-62.54130562877813,False,0.0,64.88,1196.31,733.5,0.9978785514831544,1165.1971435546875,801.5384521484375,298.86505126953125,421.5191040039063,0.903698742389679,1270.14306640625,616.6422119140625,0.9979477524757384,2.0,1229.741943359375,668.1547241210938,0.9955315589904784,2.0,1194.46484375,720.6427001953125,0.9991621971130372,2.0,1160.39794921875,788.0812377929688,0.9978785514831544,2.0,1068.4158935546875,1004.8395385742188,0.994654893875122,2.0,waist,"head,tail",8.891564788903565,-11.515326928248784,0.0290745042399581,1163.821496429529,785.8179860600324,-65.93232118720127,12.315111999682244,-13.77857866118518,0.0,1188.811,697.118,1232.903,725.591,1203.779,769.776,1160.448,741.25,"[[     21.407,    -13.773,     1196.3], [     13.759,     22.735,      733.5], [ -0.0043691,  0.0058344,          1]]",1094.0,621.0,1.0,2019-08-21 08:10:32.000,inside_outside,exit,12540.0,766.533935546875,1482.4766845703125,-120.90388519771952,12924.0,1488.87841796875,55.36434173583984,-5.945813341023107,385.0,2019-08-21 08:10:27.000,2019-08-21 08:10:46.200,937,True,72.09,1.0,281.0
147399,12641,2,3877,937.0,135_02_R_190821080000.cfr.mp4,1152.6317138671875,783.8764038085938,-56.1420953231151,False,0.0,48.49,1188.17,735.88,0.9974714517593384,1155.4052734375,794.0086059570312,329.3131103515625,405.306396484375,0.9151870608329772,1279.8514404296875,627.4204711914062,0.9987175464630128,2.0,1232.4400634765625,675.7371826171875,0.9961316585540771,2.0,1192.3369140625,722.7433471679688,0.9992401599884032,2.0,1152.6317138671875,783.8764038085938,0.9974714517593384,2.0,1043.7119140625,979.3914794921876,0.9914748668670654,2.0,waist,"head,tail",-3.3204529571106605,-9.962497448499448,0.0571375526015154,1164.8437316132015,782.3235743288444,-62.54130562877813,8.891564788903565,-11.515326928248784,0.0,1185.188,698.157,1225.451,732.29,1191.076,772.653,1150.486,739.502,"[[     21.079,    -16.918,     1188.2], [     17.834,     20.836,     735.88], [  0.0090041,   0.003653,          1]]",1092.0,623.0,1.0,2019-08-21 08:10:32.050,inside_outside,exit,12540.0,766.533935546875,1482.4766845703125,-120.90388519771952,12924.0,1488.87841796875,55.36434173583984,-5.945813341023107,385.0,2019-08-21 08:10:27.000,2019-08-21 08:10:46.200,937,True,72.09,1.0,281.0
147414,12642,3,3877,,135_02_R_190821080000.cfr.mp4,1161.5234375,776.4783935546875,-57.19295626963888,False,,,,,0.9976141452789308,1165.01025390625,789.04638671875,322.53173828125,410.6062622070313,0.9061142206192015,1288.396728515625,619.104736328125,0.9975875616073608,2.0,1241.303466796875,665.9782104492188,0.9947900772094728,2.0,1200.8363037109375,713.1300659179688,0.9989581108093262,2.0,1161.5234375,776.4783935546875,0.9976141452789308,2.0,1058.5093994140625,975.7237548828124,0.9956616759300232,2.0,waist,"head,tail",7.231497154257227,-12.379258978155915,0.0200549319001617,1150.971487388632,778.895155084344,-56.1420953231151,-3.3204529571106605,-9.962497448499448,,,,,,,,,,,,,,2019-08-21 08:10:32.100,inside_outside,exit,12540.0,766.533935546875,1482.4766845703125,-120.90388519771952,12924.0,1488.87841796875,55.36434173583984,-5.945813341023107,385.0,2019-08-21 08:10:27.000,2019-08-21 08:10:46.200,937,True,72.09,1.0,281.0
147430,12643,2,3877,937.0,135_02_R_190821080000.cfr.mp4,1174.86083984375,770.648193359375,-58.05365659821922,False,0.0,48.5,1211.58,718.23,0.9975873231887816,1181.0340576171875,782.5665283203125,325.927734375,411.271728515625,0.899717390537262,1297.15380859375,606.0529174804688,0.998976230621338,2.0,1252.348876953125,656.707763671875,0.9964080452919006,2.0,1213.72119140625,707.06201171875,0.99925035238266,2.0,1174.86083984375,770.648193359375,0.9975873231887816,2.0,1069.99755859375,970.3375854492188,0.9957200884819032,2.0,waist,"head,tail",16.953150920878556,-12.019829684390402,0.0177294378369969,1165.139186077129,770.2887640656095,-57.19295626963888,7.231497154257227,-12.379258978155915,0.0,1208.292,680.812,1248.909,714.41,1214.831,755.33,1174.931,721.986,"[[     19.886,    -16.192,     1211.6], [      16.46,     21.282,     718.23], [ -0.0024792,  0.0068276,          1]]",1114.0,607.0,1.0,2019-08-21 08:10:32.150,inside_outside,exit,12540.0,766.533935546875,1482.4766845703125,-120.90388519771952,12924.0,1488.87841796875,55.36434173583984,-5.945813341023107,385.0,2019-08-21 08:10:27.000,2019-08-21 08:10:46.200,937,True,72.09,1.0,281.0
147446,12644,2,3877,937.0,135_02_R_190821080000.cfr.mp4,1179.5299072265625,767.8234252929688,-58.33912734504292,False,0.0,63.74,1217.43,715.78,0.9978265166282654,1182.5152587890625,782.292724609375,327.30938720703125,417.4265747070313,0.8975452780723572,1297.6986083984375,602.78515625,0.998899221420288,2.0,1256.104248046875,652.9813842773438,0.9964038133621216,2.0,1218.5213623046875,703.351806640625,0.999273121356964,2.0,1179.5299072265625,767.8234252929688,0.9978265166282654,2.0,1070.2010498046875,971.6983642578124,0.9961652755737304,2.0,waist,"head,tail",13.14564284325172,-8.834682908601394,0.0086087191631532,1183.337415304189,764.6382785171797,-58.05365659821922,16.953150920878556,-12.019829684390402,0.0,1213.873,678.839,1254.169,711.644,1220.98,752.564,1180.83,719.909,"[[     20.134,     -16.36,     1217.4], [     16.391,     20.724,     715.78], [ 0.00022984,  0.0020103,          1]]",1119.0,603.0,1.0,2019-08-21 08:10:32.200,inside_outside,exit,12540.0,766.533935546875,1482.4766845703125,-120.90388519771952,12924.0,1488.87841796875,55.36434173583984,-5.945813341023107,385.0,2019-08-21 08:10:27.000,2019-08-21 08:10:46.200,937,True,72.09,1.0,281.0
147462,12645,3,3877,937.0,135_02_R_190821080000.cfr.mp4,1175.0533447265625,770.401123046875,-60.13383154406005,False,0.0,62.05,1211.33,716.43,0.9978169202804564,1182.2086181640625,782.486328125,311.970703125,422.847412109375,0.8979312777519226,1296.1175537109375,603.2556762695312,0.9990715980529784,2.0,1250.2591552734375,654.2914428710938,0.9967464208602904,2.0,1211.5975341796875,705.5084228515625,0.9993388056755066,2.0,1175.0533447265625,770.401123046875,0.9978169202804564,2.0,1081.3052978515625,977.3366088867188,0.9960106611251832,2.0,waist,"head,tail",2.096258921625917,-1.839643700394504,0.0264335402272839,1186.1027286481883,763.4060838386681,-58.33912734504292,13.14564284325172,-8.834682908601394,0.0,1207.316,679.205,1248.148,711.819,1215.295,753.19,1174.908,720.991,"[[     20.349,    -15.735,     1211.3], [     16.252,     21.433,     716.43], [  0.0004475,  0.0058372,          1]]",1112.0,606.0,1.0,2019-08-21 08:10:32.250,inside_outside,exit,12540.0,766.533935546875,1482.4766845703125,-120.90388519771952,12924.0,1488.87841796875,55.36434173583984,-5.945813341023107,385.0,2019-08-21 08:10:27.000,2019-08-21 08:10:46.200,937,True,72.09,1.0,281.0
147479,12646,2,3877,937.0,135_02_R_190821080000.cfr.mp4,1171.5185546875,768.298095703125,-61.67310168241468,False,0.0,61.49,1206.87,713.92,0.9978544116020204,1175.693359375,782.7276000976562,299.0382080078125,431.4110107421875,0.8910667300224304,1290.4912109375,599.993408203125,0.9986562728881836,2.0,1243.6044921875,650.462890625,0.9964603781700134,2.0,1205.452880859375,702.1817626953125,0.9993038177490234,2.0,1171.5185546875,768.298095703125,0.9978544116020204,2.0,1083.6163330078125,983.77001953125,0.9944090247154236,2.0,waist,"head,tail",-2.486660578249598,-3.0228491939473088,0.0150588604734397,1176.1014741873755,769.4813011966778,-60.13383154406005,2.096258921625917,-1.839643700394504,0.0,1201.15,676.755,1243.597,707.939,1212.498,750.523,1170.47,719.852,"[[     21.279,    -14.822,     1206.9], [      15.64,     22.103,     713.92], [  0.0015804,  0.0061128,          1]]",1105.0,602.0,1.0,2019-08-21 08:10:32.300,inside_outside,exit,12540.0,766.533935546875,1482.4766845703125,-120.90388519771952,12924.0,1488.87841796875,55.36434173583984,-5.945813341023107,385.0,2019-08-21 08:10:27.000,2019-08-21 08:10:46.200,937,True,72.09,1.0,281.0
147495,12647,2,3877,937.0,135_02_R_190821080000.cfr.mp4,1168.560546875,771.109619140625,-63.38704421249346,False,0.0,46.09,1201.29,717.19,0.9979069232940674,1170.9947509765625,791.3369140625,296.3197631835937,448.0895385742188,0.8840346336364746,1282.88525390625,596.4354248046875,0.998765468597412,2.0,1237.431640625,648.2461547851562,0.9967341423034668,2.0,1200.664306640625,701.8751831054688,0.9993460774421692,2.0,1168.560546875,771.109619140625,0.9979069232940674,2.0,1080.8917236328125,999.5794677734376,0.994904637336731,2.0,waist,"head,tail",-4.201338101624856,1.3000988405264025,0.0162504678247401,1170.2752243983753,766.7866711061513,-61.67310168241468,-2.486660578249598,-3.0228491939473088,0.0,1194.076,679.543,1238.153,708.407,1208.119,752.841,1164.158,726.027,"[[     23.547,    -13.811,     1201.3], [     15.675,      24.07,     717.19], [   0.015353,   0.011756,          1]]",1101.0,602.0,1.0,2019-08-21 08:10:32.350,inside_outside,exit,12540.0,766.533935546875,1482.4766845703125,-120.90388519771952,12924.0,1488.87841796875,55.36434173583984,-5.945813341023107,385.0,2019-08-21 08:10:27.000,2019-08-21 08:10:46.200,937,True,72.09,1.0,281.0
147510,12648,3,3877,937.0,135_02_R_190821080000.cfr.mp4,1165.4013671875,776.121826171875,-62.92479727454967,False,0.0,61.51,1196.05,720.78,0.9980098605155944,1166.3079833984375,792.0206909179688,300.30596923828125,444.9290771484375,0.887203574180603,1276.77197265625,597.8839111328125,0.9992337226867676,2.0,1232.502685546875,652.5115966796875,0.9973389506340028,2.0,1197.01611328125,707.4356689453125,0.9994744658470154,2.0,1165.4013671875,776.121826171875,0.9980098605155944,2.0,1071.52490234375,999.4002685546876,0.9957925081253052,2.0,waist,"head,tail",-5.259848738312371,5.662256451513144,0.0084147142260234,1166.4598778241875,771.7596685608883,-63.38704421249346,-4.201338101624856,1.3000988405264025,0.0,1188.596,683.988,1232.798,712.562,1203.347,756.784,1160.022,728.841,"[[      21.93,    -13.478,     1196.1], [     14.186,     23.446,     720.78], [ 0.00051337,   0.010368,          1]]",1097.0,607.0,1.0,2019-08-21 08:10:32.400,inside_outside,exit,12540.0,766.533935546875,1482.4766845703125,-120.90388519771952,12924.0,1488.87841796875,55.36434173583984,-5.945813341023107,385.0,2019-08-21 08:10:27.000,2019-08-21 08:10:46.200,937,True,72.09,1.0,281.0
147525,12649,3,3877,937.0,135_02_R_190821080000.cfr.mp4,1170.17724609375,770.0067138671875,-62.42068603907944,False,0.0,32.77,1202.35,717.63,0.9982214570045472,1168.79931640625,786.2022094726562,305.2576904296875,436.294677734375,0.8859729170799255,1282.021484375,594.9444580078125,0.9990262985229492,2.0,1239.2900390625,648.7907104492188,0.9970555305480956,2.0,1203.483642578125,702.652587890625,0.9994533658027648,2.0,1170.17724609375,770.0067138671875,0.9982214570045472,2.0,1076.1060791015625,989.1708984375,0.9964311122894288,2.0,waist,"head,tail",2.145954537093872,-3.2839840789309847,0.0198070095074222,1162.7714428183438,778.9529543976316,-62.92479727454967,-5.259848738312371,5.662256451513144,0.0,1196.306,678.644,1239.304,708.346,1208.092,754.702,1164.391,727.161,"[[      23.58,    -15.195,     1202.3], [     16.503,      24.38,     717.63], [   0.019222,  0.0058889,          1]]",1103.0,603.0,1.0,2019-08-21 08:10:32.450,inside_outside,exit,12540.0,766.533935546875,1482.4766845703125,-120.90388519771952,12924.0,1488.87841796875,55.36434173583984,-5.945813341023107,385.0,2019-08-21 08:10:27.000,2019-08-21 08:10:46.200,937,True,72.09,1.0,281.0
147540,12650,3,3877,937.0,135_02_R_190821080000.cfr.mp4,1172.2864990234375,767.7433471679688,-65.24140702525654,False,0.0,50.43,1204.93,713.79,0.9979608058929444,1174.6282958984375,784.261962890625,296.128662109375,438.564453125,0.8873313665390015,1282.260009765625,592.1993408203125,0.998961329460144,2.0,1238.4095458984375,645.9650268554688,0.9969942569732666,2.0,1202.5001220703125,699.66748046875,0.9994255304336548,2.0,1172.2864990234375,767.7433471679688,0.9979608058929444,2.0,1097.33447265625,993.1756591796876,0.99247545003891,2.0,waist,"head,tail",3.182230198234379,-3.9053587386841855,0.0235921153118857,1171.250223362297,768.364721827722,-62.42068603907944,2.145954537093872,-3.2839840789309847,0.0,1197.004,677.681,1241.723,704.857,1212.957,750.401,1169.273,722.455,"[[     20.947,    -13.662,     1204.9], [     12.498,     23.088,     713.79], [  -0.011277,  0.0044919,          1]]",1103.0,600.0,1.0,2019-08-21 08:10:32.500,inside_outside,exit,12540.0,766.533935546875,1482.4766845703125,-120.90388519771952,12924.0,1488.87841796875,55.36434173583984,-5.945813341023107,385.0,2019-08-21 08:10:27.000,2019-08-21 08:10:46.200,937,True,72.09,1.0,281.0
