,track_id,track_pollen_score,track_shape,track_event,track_tagid,track_hastag,track_startframe,track_startx,track_starty,track_starta,track_endframe,track_endx,track_endy,track_enda,track_length,datetime,track_starttime,track_endtime,pollen,entering,leaving,entering_leaving,walking,video_name,labelbee_videoid,video_filename,video_seq
13623,13623,0.0046009047473489,ramp-inside,,197,True,33673,1536,520,348.11134196037204,33679,1488,0,5.856013585428958,7,2017-06-21 08:28:03.650,2017-06-21 08:28:03.650,2017-06-21 08:28:03.950,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
14632,14632,0.0001380333472274,outside_inside,entering,1609,True,36475,956,840,23.385221057213755,36488,572,40,42.61405596961119,14,2017-06-21 08:30:23.750,2017-06-21 08:30:23.750,2017-06-21 08:30:24.400,False,True,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
15799,15799,2.3201721604526604e-06,noise,,1361,True,39262,1436,1120,0.0,39266,1416,1004,0.0,5,2017-06-21 08:32:43.100,2017-06-21 08:32:43.100,2017-06-21 08:32:43.300,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
15803,15803,1.6212662609288442e-05,noise,,930,True,39269,1348,856,32.005383208083494,39272,1308,664,11.888658039627977,4,2017-06-21 08:32:43.450,2017-06-21 08:32:43.450,2017-06-21 08:32:43.600,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
15805,15805,0.0026159591222624,ramp-inside,,930,True,39274,1276,476,5.856013585428958,39280,1184,40,14.931417178137554,7,2017-06-21 08:32:43.700,2017-06-21 08:32:43.700,2017-06-21 08:32:44.000,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
16488,16488,0.0025263050757373,inside_ramp,,1361,True,40961,476,168,181.3639275316029,40968,416,512,181.7357045889284,8,2017-06-21 08:34:08.050,2017-06-21 08:34:08.050,2017-06-21 08:34:08.400,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
16491,16491,0.0002339778430222,noise,,1361,True,40969,484,644,193.3924977537511,40972,548,832,193.0918930643469,4,2017-06-21 08:34:08.450,2017-06-21 08:34:08.450,2017-06-21 08:34:08.600,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
18146,18146,0.0228998975712784,noise,,197,True,44433,2020,336,195.12400730831055,44436,2024,576,173.0470425318261,4,2017-06-21 08:37:01.650,2017-06-21 08:37:01.650,2017-06-21 08:37:01.800,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
18956,18956,1.6486303938059434e-05,inside_out,leaving,1609,True,45957,924,116,180.0,46011,944,1172,163.85566121971652,55,2017-06-21 08:38:17.850,2017-06-21 08:38:17.850,2017-06-21 08:38:20.550,False,False,True,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
19796,19796,0.0003240489843392,noise,,1652,True,47749,796,796,14.03624346792648,47752,736,636,22.833654177917545,4,2017-06-21 08:39:47.450,2017-06-21 08:39:47.450,2017-06-21 08:39:47.600,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
